Experimental_index,DP_Group,LA/GA,Polymer_MW,CL Ratio,Drug_Tm,Drug_Pka,Initial D/M ratio,DLC,SA-V,SE,Drug_Mw,Drug_TPSA,Drug_NHA,Drug_LogP,Time,T=0.25,T=0.5,T=1.0,Release,LA_GA_Ratio,Normalized_MW,Drug_Polymer_MW_Ratio
138,PTX-PVL-co-PAVL,0.0,32000,0.15,216.5,10.36,1.666666666666667,0.2911665866538645,2.888888888888889,0.5,853.9179999999998,221.29,15,3.735700000000002,4.0,0.04741588897729879,0.07404666127471807,0.08165760120003601,0.156717558510975,0.0,10.373522431293592,0.02668493749999999
138,PTX-PVL-co-PAVL,0.0,32000,0.15,216.5,10.36,1.666666666666667,0.2911665866538645,2.888888888888889,0.5,853.9179999999998,221.29,15,3.735700000000002,5.0,0.04741588897729879,0.07404666127471807,0.08165760120003601,0.179314646813836,0.0,10.373522431293592,0.02668493749999999
138,PTX-PVL-co-PAVL,0.0,32000,0.15,216.5,10.36,1.666666666666667,0.2911665866538645,2.888888888888889,0.5,853.9179999999998,221.29,15,3.735700000000002,6.0,0.04741588897729879,0.07404666127471807,0.08165760120003601,0.200686267678618,0.0,10.373522431293592,0.02668493749999999
138,PTX-PVL-co-PAVL,0.0,32000,0.15,216.5,10.36,1.666666666666667,0.2911665866538645,2.888888888888889,0.5,853.9179999999998,221.29,15,3.735700000000002,7.0,0.04741588897729879,0.07404666127471807,0.08165760120003601,0.213307978960176,0.0,10.373522431293592,0.02668493749999999
138,PTX-PVL-co-PAVL,0.0,32000,0.15,216.5,10.36,1.666666666666667,0.2911665866538645,2.888888888888889,0.5,853.9179999999998,221.29,15,3.735700000000002,11.0,0.04741588897729879,0.07404666127471807,0.08165760120003601,0.282743949292806,0.0,10.373522431293592,0.02668493749999999
138,PTX-PVL-co-PAVL,0.0,32000,0.15,216.5,10.36,1.666666666666667,0.2911665866538645,2.888888888888889,0.5,853.9179999999998,221.29,15,3.735700000000002,14.0,0.04741588897729879,0.07404666127471807,0.08165760120003601,0.329228090886843,0.0,10.373522431293592,0.02668493749999999
138,PTX-PVL-co-PAVL,0.0,32000,0.15,216.5,10.36,1.666666666666667,0.2911665866538645,2.888888888888889,0.5,853.9179999999998,221.29,15,3.735700000000002,18.0,0.04741588897729879,0.07404666127471807,0.08165760120003601,0.377084656737166,0.0,10.373522431293592,0.02668493749999999
138,PTX-PVL-co-PAVL,0.0,32000,0.15,216.5,10.36,1.666666666666667,0.2911665866538645,2.888888888888889,0.5,853.9179999999998,221.29,15,3.735700000000002,21.0,0.04741588897729879,0.07404666127471807,0.08165760120003601,0.400898080375669,0.0,10.373522431293592,0.02668493749999999
138,PTX-PVL-co-PAVL,0.0,32000,0.15,216.5,10.36,1.666666666666667,0.2911665866538645,2.888888888888889,0.5,853.9179999999998,221.29,15,3.735700000000002,25.0,0.04741588897729879,0.07404666127471807,0.08165760120003601,0.430515876234533,0.0,10.373522431293592,0.02668493749999999
138,PTX-PVL-co-PAVL,0.0,32000,0.15,216.5,10.36,1.666666666666667,0.2911665866538645,2.888888888888889,0.5,853.9179999999998,221.29,15,3.735700000000002,28.0,0.04741588897729879,0.07404666127471807,0.08165760120003601,0.446773584715913,0.0,10.373522431293592,0.02668493749999999
138,PTX-PVL-co-PAVL,0.0,32000,0.15,216.5,10.36,1.666666666666667,0.2911665866538645,2.888888888888889,0.5,853.9179999999998,221.29,15,3.735700000000002,32.0,0.04741588897729879,0.07404666127471807,0.08165760120003601,0.468833164647575,0.0,10.373522431293592,0.02668493749999999
138,PTX-PVL-co-PAVL,0.0,32000,0.15,216.5,10.36,1.666666666666667,0.2911665866538645,2.888888888888889,0.5,853.9179999999998,221.29,15,3.735700000000002,35.0,0.04741588897729879,0.07404666127471807,0.08165760120003601,0.481772858561583,0.0,10.373522431293592,0.02668493749999999
138,PTX-PVL-co-PAVL,0.0,32000,0.15,216.5,10.36,1.666666666666667,0.2911665866538645,2.888888888888889,0.5,853.9179999999998,221.29,15,3.735700000000002,39.0,0.04741588897729879,0.07404666127471807,0.08165760120003601,0.497584125806473,0.0,10.373522431293592,0.02668493749999999
138,PTX-PVL-co-PAVL,0.0,32000,0.15,216.5,10.36,1.666666666666667,0.2911665866538645,2.888888888888889,0.5,853.9179999999998,221.29,15,3.735700000000002,42.0,0.04741588897729879,0.07404666127471807,0.08165760120003601,0.507678849073024,0.0,10.373522431293592,0.02668493749999999
138,PTX-PVL-co-PAVL,0.0,32000,0.15,216.5,10.36,1.666666666666667,0.2911665866538645,2.888888888888889,0.5,853.9179999999998,221.29,15,3.735700000000002,46.0,0.04741588897729879,0.07404666127471807,0.08165760120003601,0.520251386383204,0.0,10.373522431293592,0.02668493749999999
138,PTX-PVL-co-PAVL,0.0,32000,0.15,216.5,10.36,1.666666666666667,0.2911665866538645,2.888888888888889,0.5,853.9179999999998,221.29,15,3.735700000000002,49.0,0.04741588897729879,0.07404666127471807,0.08165760120003601,0.528279271898998,0.0,10.373522431293592,0.02668493749999999
138,PTX-PVL-co-PAVL,0.0,32000,0.15,216.5,10.36,1.666666666666667,0.2911665866538645,2.888888888888889,0.5,853.9179999999998,221.29,15,3.735700000000002,53.0,0.04741588897729879,0.07404666127471807,0.08165760120003601,0.54110232126705,0.0,10.373522431293592,0.02668493749999999
138,PTX-PVL-co-PAVL,0.0,32000,0.15,216.5,10.36,1.666666666666667,0.2911665866538645,2.888888888888889,0.5,853.9179999999998,221.29,15,3.735700000000002,56.0,0.04741588897729879,0.07404666127471807,0.08165760120003601,0.548324044095474,0.0,10.373522431293592,0.02668493749999999
138,PTX-PVL-co-PAVL,0.0,32000,0.15,216.5,10.36,1.666666666666667,0.2911665866538645,2.888888888888889,0.5,853.9179999999998,221.29,15,3.735700000000002,60.0,0.04741588897729879,0.07404666127471807,0.08165760120003601,0.558479711167637,0.0,10.373522431293592,0.02668493749999999
138,PTX-PVL-co-PAVL,0.0,32000,0.15,216.5,10.36,1.666666666666667,0.2911665866538645,2.888888888888889,0.5,853.9179999999998,221.29,15,3.735700000000002,63.0,0.04741588897729879,0.07404666127471807,0.08165760120003601,0.564774766058144,0.0,10.373522431293592,0.02668493749999999
138,PTX-PVL-co-PAVL,0.0,32000,0.15,216.5,10.36,1.666666666666667,0.2911665866538645,2.888888888888889,0.5,853.9179999999998,221.29,15,3.735700000000002,67.0,0.04741588897729879,0.07404666127471807,0.08165760120003601,0.569439725869233,0.0,10.373522431293592,0.02668493749999999
138,PTX-PVL-co-PAVL,0.0,32000,0.15,216.5,10.36,1.666666666666667,0.2911665866538645,2.888888888888889,0.5,853.9179999999998,221.29,15,3.735700000000002,70.0,0.04741588897729879,0.07404666127471807,0.08165760120003601,0.578539649520818,0.0,10.373522431293592,0.02668493749999999
138,PTX-PVL-co-PAVL,0.0,32000,0.15,216.5,10.36,1.666666666666667,0.2911665866538645,2.888888888888889,0.5,853.9179999999998,221.29,15,3.735700000000002,74.0,0.04741588897729879,0.07404666127471807,0.08165760120003601,0.58639947477818,0.0,10.373522431293592,0.02668493749999999
138,PTX-PVL-co-PAVL,0.0,32000,0.15,216.5,10.36,1.666666666666667,0.2911665866538645,2.888888888888889,0.5,853.9179999999998,221.29,15,3.735700000000002,77.0,0.04741588897729879,0.07404666127471807,0.08165760120003601,0.592622578632272,0.0,10.373522431293592,0.02668493749999999
138,PTX-PVL-co-PAVL,0.0,32000,0.15,216.5,10.36,1.666666666666667,0.2911665866538645,2.888888888888889,0.5,853.9179999999998,221.29,15,3.735700000000002,81.0,0.04741588897729879,0.07404666127471807,0.08165760120003601,0.601882593917673,0.0,10.373522431293592,0.02668493749999999
138,PTX-PVL-co-PAVL,0.0,32000,0.15,216.5,10.36,1.666666666666667,0.2911665866538645,2.888888888888889,0.5,853.9179999999998,221.29,15,3.735700000000002,84.0,0.04741588897729879,0.07404666127471807,0.08165760120003601,0.608112492106072,0.0,10.373522431293592,0.02668493749999999
138,PTX-PVL-co-PAVL,0.0,32000,0.15,216.5,10.36,1.666666666666667,0.2911665866538645,2.888888888888889,0.5,853.9179999999998,221.29,15,3.735700000000002,88.0,0.04741588897729879,0.07404666127471807,0.08165760120003601,0.616063383117954,0.0,10.373522431293592,0.02668493749999999
138,PTX-PVL-co-PAVL,0.0,32000,0.15,216.5,10.36,1.666666666666667,0.2911665866538645,2.888888888888889,0.5,853.9179999999998,221.29,15,3.735700000000002,91.0,0.04741588897729879,0.07404666127471807,0.08165760120003601,0.622150612114699,0.0,10.373522431293592,0.02668493749999999
138,PTX-PVL-co-PAVL,0.0,32000,0.15,216.5,10.36,1.666666666666667,0.2911665866538645,2.888888888888889,0.5,853.9179999999998,221.29,15,3.735700000000002,95.0,0.04741588897729879,0.07404666127471807,0.08165760120003601,0.630146033553898,0.0,10.373522431293592,0.02668493749999999
138,PTX-PVL-co-PAVL,0.0,32000,0.15,216.5,10.36,1.666666666666667,0.2911665866538645,2.888888888888889,0.5,853.9179999999998,221.29,15,3.735700000000002,98.0,0.04741588897729879,0.07404666127471807,0.08165760120003601,0.636467315495401,0.0,10.373522431293592,0.02668493749999999
138,PTX-PVL-co-PAVL,0.0,32000,0.15,216.5,10.36,1.666666666666667,0.2911665866538645,2.888888888888889,0.5,853.9179999999998,221.29,15,3.735700000000002,102.0,0.04741588897729879,0.07404666127471807,0.08165760120003601,0.643885055118139,0.0,10.373522431293592,0.02668493749999999
138,PTX-PVL-co-PAVL,0.0,32000,0.15,216.5,10.36,1.666666666666667,0.2911665866538645,2.888888888888889,0.5,853.9179999999998,221.29,15,3.735700000000002,105.0,0.04741588897729879,0.07404666127471807,0.08165760120003601,0.649405957056632,0.0,10.373522431293592,0.02668493749999999
